Title,Description,Issue Type,Status,Component,Priority,Assignee,Labels,Epic Link
"CI Pipeline for publishing Carvel Packages","Create a CI pipeline that utilizes Carvel tools (ytt, vendir, kapp, kapp-controller, kbld, imgpkg) to build, package, and publish applications.",Epic,To Do,CI/CD,Medium,,carvel,
"Design CI pipeline for Carvel packages","Design a CI pipeline that utilizes Carvel tools (ytt, vendir, kapp, kapp-controller, kbld, imgpkg) to build, package, and publish applications.",Epic,To Do,CI/CD,Medium,,carvel,CI Pipeline for publishing Carvel Packages
"Configure ytt for templating","Set up ytt for templating YAML configuration files.",Task,To Do,CI/CD,Medium,,carvel,CI Pipeline for publishing Carvel Packages
"Configure vendir for syncing dependencies","Set up vendir to manage and sync external dependencies required by the application.",Task,To Do,CI/CD,Medium,,carvel,CI Pipeline for publishing Carvel Packages
"Create documentation for pipeline","Document the pipeline, its components, and usage.",Task,To Do,CI/CD,Medium,,carvel,CI Pipeline for publishing Carvel Packages
"Configure kapp for deployment","Set up kapp for deploying the application to Kubernetes clusters.",Task,To Do,CI/CD,Medium,,carvel,CI Pipeline for publishing Carvel Packages
"Integrate kapp-controller","Integrate kapp-controller to manage application deployments in a declarative manner.",Task,To Do,CI/CD,Medium,,carvel,CI Pipeline for publishing Carvel Packages
"Configure kbld for image management","Set up kbld to manage container images during the deployment process.",Task,To Do,CI/CD,Medium,,carvel,CI Pipeline for publishing Carvel Packages
"Configure imgpkg for image packaging","Set up imgpkg to package and distribute application container images.",Task,To Do,CI/CD,Medium,,carvel,CI Pipeline for publishing Carvel Packages
"Test and validate pipeline","Test the pipeline end-to-end and validate its functionality.",Task,To Do,CI/CD,Medium,,carvel,CI Pipeline for publishing Carvel Packages
"Define the Cluster API SKUs","Define and document the Cluster API SKUs that will be supported in the environment and their associated use cases.",Epic,To Do,Cluster Management,Medium,,cluster-api,
"Document Cluster API SKU definitions","Create documentation for the defined Cluster API SKUs, including their specifications and use cases.",Task,To Do,Cluster Management,Medium,,cluster-api,"Define the Cluster API SKUs"
"Create SKU templates","Create reusable templates for each Cluster API SKU to streamline cluster creation.",Task,To Do,Cluster Management,Medium,,cluster-api,"Define the Cluster API SKUs"
"Review and update SKU documentation","Regularly review and update the Cluster API SKU documentation to ensure it remains accurate and up-to-date.",Task,To Do,Cluster Management,Medium,,cluster-api,"Define the Cluster API SKUs"
"Establish SKU update process","Define a process for updating and deprecating Cluster API SKUs as needed.",Task,To Do,Cluster Management,Medium,,cluster-api,"Define the Cluster API SKUs"
"Package, deploy and configure CoreDNS","Package, document and configure CoreDNS with Carvel.",Epic,To Do,Service Discovery,Medium,,coredns,
"Package CoreDNS with Carvel","Package CoreDNS for deployment using Carvel tools.",Task,To Do,Service Discovery,Medium,,coredns,"Package, deploy and configure CoreDNS"
"Create CoreDNS deployment documentation","Create documentation outlining the process of deploying and configuring CoreDNS with Carvel.",Task,To Do,Service Discovery,Medium,,coredns,"Package, deploy and configure CoreDNS"
"Deploy CoreDNS using kapp","Deploy CoreDNS to the cluster using kapp.",Task,To Do,Service Discovery,Medium,,coredns,"Package, deploy and configure CoreDNS"
"Configure CoreDNS using ytt and kbld","Configure CoreDNS with ytt and kbld based on the specific requirements of the environment.",Task,To Do,Service Discovery,Medium,,coredns,"Package, deploy and configure CoreDNS"
"Validate CoreDNS deployment","Verify that CoreDNS is correctly deployed and functioning as expected.",Task,To Do,Service Discovery,Medium,,coredns,"Package, deploy and configure CoreDNS"
"Create CoreDNS update process","Define a process for updating and managing CoreDNS configuration changes using Carvel tools.",Task,To Do,Service Discovery,Medium,,coredns,"Package, deploy and configure CoreDNS"
"Container Runtime configuration","Define and configure containerd settings including maintenance policies.",Epic,To Do,Container Runtime,Medium,,container-runtime,
"Create containerd configuration YAML","Create the containerd configuration YAML file with the required settings.",Task,To Do,Container Runtime,Medium,,container-runtime,"Container Runtime configuration"
"Document container runtime configuration","Document the container runtime configuration process and settings for containerd.",Task,To Do,Container Runtime,Medium,,container-runtime,"Container Runtime configuration"
"Apply containerd configuration","Apply the containerd configuration to the cluster and ensure it is being used by the nodes.",Task,To Do,Container Runtime,Medium,,container-runtime,"Container Runtime configuration"
"Configure containerd garbage collection","Configure containerd garbage collection settings to ensure efficient use of resources.",Task,To Do,Container Runtime,Medium,,container-runtime,"Container Runtime configuration"
"Validate containerd configuration","Verify that containerd is correctly configured and functioning as expected.",Task,To Do,Container Runtime,Medium,,container-runtime,"Container Runtime configuration"
"Document containerd maintenance policies","Document the maintenance policies for containerd, including updates and troubleshooting.",Task,To Do,Container Runtime,Medium,,container-runtime,"Container Runtime configuration"
"Document Lifecycle Management","Document the Cluster API lifecycle management plan with runbooks.",Epic,To Do,Lifecycle Management,Medium,,lifecycle-management,
"Document Cluster API lifecycle management overview","Create an overview document describing the Cluster API lifecycle management process.",Task,To Do,Lifecycle Management,Medium,,lifecycle-management,"Document Lifecycle Management"
"Create runbook for Cluster API creation","Document the steps for creating a new Cluster API object using kapp-controller.",Task,To Do,Lifecycle Management,Medium,,lifecycle-management,"Document Lifecycle Management"
"Create runbook for Cluster API updates","Document the steps for updating a Cluster API object using kapp-controller.",Task,To Do,Lifecycle Management,Medium,,lifecycle-management,"Document Lifecycle Management"
"Create runbook for Cluster API deletion","Document the steps for deleting a Cluster API object using kapp-controller.",Task,To Do,Lifecycle Management,Medium,,lifecycle-management,"Document Lifecycle Management"
"Create runbook for troubleshooting Cluster API objects","Document the steps for troubleshooting Cluster API objects and common issues.",Task,To Do,Lifecycle Management,Medium,,lifecycle-management,"Document Lifecycle Management"
"Create runbook for Cluster API object monitoring","Document the monitoring and alerting processes for Cluster API objects.",Task,To Do,Lifecycle Management,Medium,,lifecycle-management,"Document Lifecycle Management"
"Package, deploy and configure Antrea","Package, configure and deploy Antrea with NSX Integration.",Epic,To Do,Networking,Medium,,antrea,
"Package Antrea for deployment","Use ytt, kbld, and imgpkg to package Antrea for deployment.",Task,To Do,Networking,Medium,,antrea,"Package, deploy and configure Antrea"
"Create Antrea configuration documentation","Document the process of configuring Antrea and its integration with NSX.",Task,To Do,Networking,Medium,,antrea,"Package, deploy and configure Antrea"
"Create Antrea deployment documentation","Document the process of deploying Antrea using kapp and kapp-controller.",Task,To Do,Networking,Medium,,antrea,"Package, deploy and configure Antrea"
"Deploy Antrea with NSX integration","Deploy Antrea with NSX integration using the packaged configuration.",Task,To Do,Networking,Medium,,antrea,"Package, deploy and configure Antrea"
"Create Antrea monitoring and troubleshooting guide","Document the process of monitoring Antrea and troubleshooting common issues.",Task,To Do,Networking,Medium,,antrea,"Package, deploy and configure Antrea"
"Create Antrea update and maintenance guide","Document the process of updating and maintaining Antrea.",Task,To Do,Networking,Medium,,antrea,"Package, deploy and configure Antrea"
"Implement Container Storage","Implement Container Block, File and Object Storage.",Epic,To Do,Storage,Medium,,storage,
"Package Weka Operator for Block Storage","Use ytt, kbld, and imgpkg to package the Weka Operator for Block Storage.",Task,To Do,Storage,Medium,,storage,"Implement Container Storage"
"Package Weka Operator for Object Storage","Use ytt, kbld, and imgpkg to package the Weka Operator for Object Storage.",Task,To Do,Storage,Medium,,storage,"Implement Container Storage"
"Package NFS Operator for File Storage","Use ytt, kbld, and imgpkg to package the NFS Operator for File Storage.",Task,To Do,Storage,Medium,,storage,"Implement Container Storage"
"Deploy Weka Operator for Block Storage","Deploy the Weka Operator for Block Storage using kapp and kapp-controller.",Task,To Do,Storage,Medium,,storage,"Implement Container Storage"
